title,price,currency,rating,in_stock,stock_count,category,upc,tax,reviews,url,availability
"We Love You, Charlie Freeman",50.27,GBP,5,True,16,Fiction,8d455c7539795d2a,0.0,0,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,In stock (16 available)
Untitled Collection: Sabbath Poems 2014,14.27,GBP,4,True,16,Poetry,657fe5ead67a7767,0.0,0,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,In stock (16 available)
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,GBP,4,True,16,Nonfiction,d170b5a0da46380e,0.0,0,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,In stock (16 available)
Unicorn Tracks,18.78,GBP,3,True,16,Fantasy,7ae099f3898e0209,0.0,0,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,In stock (16 available)
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,GBP,1,True,16,History,9a9d6e9bc555731e,0.0,0,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,In stock (16 available)
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,GBP,1,True,16,Sequential Art,09555be379ad9253,0.0,0,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,In stock (16 available)
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,GBP,3,True,16,Nonfiction,7858914fad68493c,0.0,0,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,In stock (16 available)
This One Summer,19.49,GBP,4,True,16,Sequential Art,51653ef291ab7ddc,0.0,0,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,In stock (16 available)
Thirst,17.27,GBP,5,True,16,Fiction,709822d0b5bcb7f4,0.0,0,https://books.toscrape.com/catalogue/thirst_946/index.html,In stock (16 available)
The Torch Is Passed: A Harding Family Story,19.09,GBP,1,True,16,Add a comment,4eed62cf5f8d8edf,0.0,0,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,In stock (16 available)
The Secret of Dreadwillow Carse,56.13,GBP,1,True,16,Childrens,b5ea0b5dabed25a8,0.0,0,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,In stock (16 available)
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,GBP,1,True,16,Food and Drink,142d767a56a9254d,0.0,0,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,In stock (16 available)
The Past Never Ends,56.5,GBP,4,True,16,Mystery,5ee94540d0749ea0,0.0,0,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,In stock (16 available)
The Natural History of Us (The Fine Art of Pretending #2),45.22,GBP,3,True,16,Young Adult,cedf82b5086e4691,0.0,0,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,In stock (16 available)
